1	45.00 
1	56.00 
1	83.00 
1	297.00 
1	210.10 
1	217.57 
1	243.50 
1	254.20 
2	104.40 
2	147.20 
2	179.30 
2	329.10 
2	339.80 
2	225.03 
3	190.00 
3	26.15 
3	350.50 
3	232.50 
3	87.00 
3	83.00 
4	115.10 
4	119.92 
4	127.68 
4	239.96 
4	247.43 
4	93.70 
5	299.69 
5	45.00 
5	56.00 
5	104.40 
5	115.10 
5	254.90 
6	211.40 
6	222.10 
6	264.90 
6	262.36 
6	119.92 
6	127.68 
7	275.60 
7	307.70 
7	318.40 
7	269.83 
7	277.29 
7	88.56 
8	350.50 
8	135.44 
8	142.91 
8	87.21 
8	284.76 
8	85.86 
9	150.37 
9	307.16 
9	37.00 
9	84.51 
9	83.17 
9	292.23 
10	87.00 
10	115.10 
10	125.80 
10	314.62 
10	322.09 
10	81.82 
11	136.50 
11	157.84 
11	165.30 
11	80.47 
11	79.12 
11	77.78 
12	172.77 
12	137.00 
12	93.70 
12	76.43 
12	83.00 
12	93.70 
13	157.90 
13	168.60 
13	200.70 
13	104.40 
13	329.56 
13	337.02 
14	180.24 
14	187.70 
14	232.80 
14	75.08 
14	87.00 
14	344.49 
15	195.17 
15	202.63 
15	286.30 
15	351.95 
15	37.00 
15	87.00 
16	362.10 
16	245.70 
16	129.30 
17	45.00 
17	56.00 
17	83.00 
18	104.40 
18	147.20 
18	179.30 
19	190.00 
19	26.15 
19	350.50 
20	115.10 
20	45.00 
20	264.90 
21	119.92 
21	56.00 
21	275.60 
22	127.68 
22	211.40 
22	307.70 
23	299.69 
23	222.10 
23	318.40 
24	350.50 
24	307.16 
24	125.80 
25	135.44 
25	37.00 
25	136.50 
26	142.91 
26	87.00 
26	157.84 
27	150.37 
27	115.10 
27	165.30 
28	172.77 
28	168.60 
28	232.80 
29	137.00 
29	200.70 
29	195.17 
30	93.70 
30	180.24 
30	202.63 
31	157.90 
31	187.70 
31	286.30 
32	297.00 
32	339.80 
32	83.00 
33	210.10 
33	225.03 
33	239.96 
34	217.57 
34	232.50 
34	247.43 
35	329.10 
35	87.00 
35	93.70 
36	104.40 
36	119.92 
36	88.56 
37	115.10 
37	127.68 
37	87.21 
38	254.90 
38	269.83 
38	284.76 
39	262.36 
39	277.29 
39	85.86 
40	84.51 
40	322.09 
40	77.78 
41	83.17 
41	81.82 
41	76.43 
42	292.23 
42	80.47 
42	83.00 
43	314.62 
43	79.12 
43	93.70 
44	104.40 
44	87.00 
44	87.00 
45	329.56 
45	344.49 
45	243.50 
46	337.02 
46	351.95 
46	254.20 
47	75.08 
47	37.00 
48	212.90 
48	196.50 
48	380.10 
49	111.70 
49	247.30 
49	130.90 

